GMT,codeIataAirport,codeIataCity,codeIcaoAirport,codeIso2Country,latitudeAirport,longitudeAirport,nameAirport,nameCountry,phone,timezone
3.30,ACP,ACP,OITM,IR,37.347244,46.145115,Sahand,Iran,,Asia/Tehran
5,AFS,AFS,UTSN,UZ,41.61361,64.233055,Zarafshan,Uzbekistan,,Asia/Samarkand
8,AOG,AOG,ZYAS,CN,41.166668,123.03333,Anshan,China,,Asia/Shanghai
3,ARH,ARH,ULAA,RU,64.594795,40.711903,Arkhangelsk,Russia,,Europe/Moscow
3,ASF,ASF,URWA,RU,46.2877,47.999977,Astrakhan,Russia,,Europe/Volgograd
5,AZN,AZN,UTKA,UZ,40.733334,72.3,Andizhan,Uzbekistan,,Asia/Tashkent
3,BHN,BHN,OYBN,YE,14.783333,45.733334,Beihan,Yemen,,Asia/Aden
5.45,BJH,BJH,VNBG,NP,29.55,81.25,Bajhang,Nepal,,Asia/Kathmandu
8,BSD,BSD,ZPBS,CN,25.055182,99.16143,Baoshan,China,,Asia/Shanghai
8,CGD,CGD,ZGCD,CN,28.924467,111.63886,Changde,China,,Asia/Shanghai
8,CGQ,CGQ,ZYCC,CN,43.902836,125.217545,Changchun,China,,Asia/Shanghai
2,CHQ,CHQ,LGSA,GR,35.5402,24.140373,Souda,Greece,,Europe/Athens
-5,CHX,CHX,MPCH,PA,9.45,-82.45,Changuinola,Panama,,America/Panama
8,CIH,CIH,ZBCZ,CN,36.24588,113.12158,Changzhi,China,,Asia/Shanghai
-5,CMX,CMX,KCMX,US,47.167778,-88.48639,Houghton County,United States,,America/Detroit
8,CNI,CNI,KCNI,CN,31.25,121.433334,Changhai,China,,Asia/Shanghai
-4,CNR,CNR,SCRA,CL,-26.329166,-70.604164,Chanaral,,,America/Santiago
-6,CNU,CNU,KCNU,US,37.683334,-95.45,Martin Johnson,United States,,America/Chicago
8,CSX,CSX,ZGHA,CN,28.193336,113.21459,Changsha,China,,Asia/Shanghai
8,CZX,CZX,ZSCG,CN,31.914116,119.77976,Changzhou,China,,Asia/Shanghai
5.30,DBD,DBD,VEDB,IN,23.783333,86.45,Dhanbad,India,,Asia/Kolkata
5,DEA,DEA,OPDG,PK,29.960556,70.485275,Dera Ghazi Khan,Pakistan,,Asia/Karachi
5.45,DHI,DHI,VNDH,NP,28.683332,80.63333,Dhangarhi,Nepal,,Asia/Kathmandu
-6,DHN,DHN,KDHN,US,31.32,-85.44833,Dothan Airport,United States,,America/Chicago
1,DSC,DSC,FKKS,CM,5.833333,10.091667,Dschang,Cameroon,,Africa/Douala
5,DSK,DSK,OPDI,PK,31.916668,70.9,Dera Ismail Khan,Pakistan,,Asia/Karachi
5,DYU,DYU,UTDD,TJ,38.54894,68.81728,Dushanbe,Tajikistan,,Asia/Dushanbe
8,FSA,FUO,,CN,23.021548,113.121416,CZ Bus Station,China,,Asia/Shanghai
8,FUO,FUO,,CN,23.133333,113.28333,Fuoshan,China,,Asia/Shanghai
8,ZCP,FUO,,CN,23.021548,113.121416,Foshan Ferry,China,,Asia/Shanghai
8,GHN,GHN,,CN,30.466667,106.65,Guanghan,China,,Asia/Shanghai
2,GNZ,GNZ,FBGZ,BW,-21.7,21.666668,Ghanzi,Botswana,,Africa/Gaborone
1,HAJ,HAJ,EDDV,DE,52.459255,9.694766,Hanover Airport,Germany,,Europe/Berlin
1,ZVM,HAJ,,DE,52.3720683,9.7356861,Messe-BF Railway Servi,Germany,,Europe/Berlin
1,ZVR,HAJ,,DE,52.3720683,9.7356861,Hanover Railway,Germany,,Europe/Berlin
7,HAN,HAN,VVNB,VN,21.214184,105.802826,Noibai International,,,Asia/Ho_Chi_Minh
5,HAQ,HAQ,VRMH,MV,6.748433,73.16838,Hanimaadhoo,Maldives,,Indian/Maldives
-9,HBC,HBC,,US,57.5,-135.91667,Hanus Bay,United States,,America/Sitka
8,HDG,HDG,ZBHD,CN,36.525833,114.425,Handan,China,,Asia/Shanghai
8,HGH,HGH,ZSHC,CN,30.236935,120.43236,Hangzhou,China,,Asia/Shanghai
5,HMA,HMA,USHH,RU,61.02613,69.09714,Khanty-Mansiysk,Russia,,Asia/Yekaterinburg
9,HNA,HNA,RJSI,JP,39.426926,141.13077,Hanamaki,Japan,,Asia/Tokyo
-10,HNM,HNM,PHHN,US,20.795834,-156.01889,Hana,United States,,Pacific/Honolulu
-7,HNX,HNX,,US,41.833332,-106.5,Hanna,United States,,America/Denver
8,HSN,HSN,ZSZS,CN,29.935259,122.35691,Zhoushan,China,,Asia/Shanghai
-7,HVE,HVE,KHVE,US,38.36667,-110.71667,Intermediate,United States,,America/Denver
8,HZG,HZG,ZLHZ,CN,32.983334,107.183334,Hanzhong,China,,Asia/Shanghai
3.30,IFN,IFN,OIFM,IR,32.745686,51.87638,Isfahan International,Iran,,Asia/Tehran
5.30,IXC,IXC,VICG,IN,30.674921,76.797386,Chandigarh,India,,Asia/Kolkata
5.30,IXP,IXP,VIPK,IN,32.216667,75.63333,Pathankot,India,,Asia/Kolkata
8,JIC,JIC,,CN,38.541943,102.34861,Jinchuan,China,,Asia/Shanghai
2,GCJ,JNB,FAGC,ZA,-26.233334,28.15,Grand Central,South Africa,,Africa/Johannesburg
2,HLA,JNB,FALA,ZA,-25.937843,27.926432,Lanseria,South Africa,,Africa/Johannesburg
2,JNB,JNB,FAJS,ZA,-26.132664,28.231314,Oliver Reginald Tambo International (Jan Smuts International),South Africa,+27 (0) 11 92,Africa/Johannesburg
2,QRA,JNB,FAGM,ZA,-26.140278,28.242779,Rand/Germiston,South Africa,,Africa/Johannesburg
7,KDT,KDT,,TH,14.1,99.916664,Kamphangsaen,Thailand,,Asia/Bangkok
3.30,KHA,KHA,,IR,36.733334,45.15,Khaneh,Iran,,Asia/Tehran
8,KHN,KHN,ZSCN,CN,28.859901,115.907845,Nanchang,China,,Asia/Shanghai
7,KOP,KOP,VTUW,TH,17.4,104.75,Nakhon Phanom,Thailand,,Asia/Bangkok
7,KOS,KOS,VDSV,KH,10.633333,103.5,Sihanoukville,Cambodia,,Asia/Phnom_Penh
9,KPO,KPO,RKTH,KR,35.98371,129.43375,Pohang,South Korea,,Asia/Seoul
4.30,KWH,KWH,OAHN,AF,33.916668,66.333336,Khwahan,Afghanistan,,Asia/Kabul
5,LBD,LBD,UTDL,TJ,40.219887,69.6965,Khudzhand,Tajikistan,,Asia/Dushanbe
8,LHN,LHN,,TW,23.433332,121.3,Lishan,Taiwan,,Asia/Taipei
1,LUZ,LUZ,,PL,51.231945,22.690277,Lushan,Poland,,Europe/Warsaw
-6,MIF,MIF,,US,31.6,-102.9,Roy Hurd Memorial,United States,,America/Chicago
8,NBS,NBS,,CN,42.083332,127.6,Changbaishan,China,,Asia/Shanghai
-6,NRI,NRI,,US,35.166668,-99.833336,Shangri-la,United States,,America/Chicago
4.30,OAA,OAA,,AF,0.0,0.0,Shank Air Base,Afghanistan,,Asia/Kabul
-10,PAK,PAK,PHPA,US,21.933332,-159.61667,Port Allen,United States,,Pacific/Honolulu
7,PHA,PHA,,VN,11.633333,108.95,Phan Rang,,,Asia/Ho_Chi_Minh
7,PHH,PHH,,VN,10.9,108.066666,Phan Thiet,,,Asia/Ho_Chi_Minh
7,PMM,PMM,,TH,13.75,101.35,Phanom Sarakham,Thailand,,Asia/Bangkok
5,RYK,RYK,OPRK,PK,28.39178,70.28662,Sheikh Zayed International,Pakistan,,Asia/Karachi
8,PVG,SHA,ZSPD,CN,31.151825,121.799805,Shanghai Pudong International,China,021-96990,Asia/Shanghai
8,SHA,SHA,ZSSS,CN,31.196815,121.34197,Shanghai Hongqiao International,China,,Asia/Shanghai
8,SLJ,SLJ,,AU,33.29889,-111.91556,Stellar Air Park,Australia,,Australia/Perth
0,SNN,SNN,EINN,IE,52.69248,-8.92039,Shannon,Ireland,,Europe/Dublin
6.30,SNW,SNW,VYTD,MM,18.453876,94.30038,Thandwe,,,Asia/Rangoon
10,SRN,SRN,YSRN,AU,-42.15,145.31667,Strahan,Australia,,Australia/Hobart
8,SWA,SWA,ZGOW,CN,23.430237,116.75859,Shantou,China,,Asia/Shanghai
8,SXJ,SXJ,ZWSS,CN,42.816666,90.23333,Shanshan,China,,Asia/Shanghai
10,THG,THG,YTNG,AU,-24.5,150.56667,Thangool,Australia,,Australia/Brisbane
7,THX,THX,UOTT,RU,65.79722,87.93528,Turukhansk,Russia,,Asia/Krasnoyarsk
5.30,TJV,TJV,VOTJ,IN,10.8,79.2,Thanjavur,India,,Asia/Kolkata
8,TVS,TVS,,CN,39.724,117.99345,Sannuhe,China,,Asia/Shanghai
0,UCN,UCN,,LR,5.95,-10.033333,Buchanan,Liberia,,Africa/Monrovia
7,URT,URT,VTSB,TH,9.133865,99.143196,Surat Thani,Thailand,,Asia/Bangkok
7,UTH,UTH,VTUD,TH,17.38661,102.774506,Udon Thani,Thailand,,Asia/Bangkok
3,VVB,VVB,FMMH,MG,-19.833332,48.8,Mahanoro,Madagascar,,Indian/Antananarivo
-9,WCR,WCR,PALR,US,67.505554,-148.5,Chandalar,United States,,America/Anchorage
8,WEC,WEC,,CN,49.2,9.925,Wenchang Railway Station,China,,Asia/Shanghai
8,WNH,WNH,ZPWS,CN,23.374907,104.24256,Puzhehei,China,,Asia/Shanghai
12,WRE,WRE,NZWR,NZ,-35.76742,174.36403,Whangarei,New Zealand,,Pacific/Auckland
8,WUH,WUH,ZHHH,CN,30.776598,114.209625,Tianhe International,China,,Asia/Shanghai
8,WUS,WUS,ZSWY,CN,27.716667,117.96667,Wuyishan,China,,Asia/Shanghai
-5,XDL,XDL,,CA,48.34935,-64.67926,Chandler Railway Station,Canada,,America/Montreal
8,XIC,XIC,ZUXC,CN,27.981922,102.187645,Xichang,China,,Asia/Shanghai
-5,YBJ,YBJ,,CA,50.5,-62.916668,Baie Johan Beetz,Canada,,America/Montreal
8,YIE,YIE,,CN,47.31,119.910835,Yiershi,China,,Asia/Shanghai
8,YIH,YIH,ZHYC,CN,30.549934,111.478935,Yichang,China,,Asia/Shanghai
-2:30,YZM,YZM,,CA,48.833332,-56.86667,Buchans,Canada,,America/St_Johns
8,YZY,YZY,,CN,38.8075,100.660835,Ganzhou,China,,Asia/Shanghai
8,THJ,ZCA,,CN,0.0,0.0,Taishan Bus Station,China,,Asia/Shanghai
8,ZCA,ZCA,,CN,0.0,0.0,Tai Shan,China,,Asia/Shanghai
8,HHS,ZGN,,CN,13.07,42.638332,CZ Bus Station,China,,Asia/Shanghai
8,ZGN,ZGN,ZGNN,CN,22.61321,108.1675,Zhongshan Ferry Port,China,,Asia/Shanghai
8,ZHA,ZHA,ZGZJ,CN,21.214727,110.36272,Zhanjiang,China,,Asia/Shanghai
8,ZIY,ZIY,,CN,0.0,0.0,Lianhuashan Port,China,,Asia/Shanghai
8,ZQZ,ZQZ,,CN,40.7392,114.931,Zhangjiakou,China,,Asia/Shanghai
